,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
4128,8,8,H,6123,1.0,313108.876325,2395573.99677,313125.155941,2395594.745122,1.0,313117.016133,2395584.370946,26.372713,0.665294,HO
4129,8,8,H,6124,1.0,313125.155941,2395594.745122,313143.591589,2395603.54877,1.0,313134.373765,2395599.146946,20.429815,1.125283,HO
4130,8,8,H,13985,1.0,313252.217541,2395046.500737,313198.813541,2395063.247841,1.0,313225.515541,2395054.874289,55.968319,1.874676,HV
4131,8,8,H,13991,1.0,313531.639173,2395554.956194,313522.015493,2395547.623874,1.0,313526.827333,2395551.290034,12.098683,0.91972,HO
4132,8,8,H,13992,1.0,313522.015493,2395547.623874,313497.268965,2395541.66637,1.0,313509.642229,2395544.645122,25.453536,1.334551,HV
4133,8,8,H,14002,1.0,313710.470021,2395032.256161,313707.039365,2394979.158529,1.0,313708.754693,2395005.707345,53.208345,0.064521,HP
4134,8,8,H,14008,1.0,313583.092037,2395570.504674,313631.626853,2395579.825058,1.0,313607.359445,2395575.164866,49.421634,1.381071,HV
4135,8,9,H,5913,1.0,313982.467909,2395301.998913,313968.938213,2395466.006466,1.0,313975.703061,2395384.002689,164.564668,3.059285,HP
4136,8,9,H,14006,1.0,313900.093285,2395483.745442,313915.905253,2395395.744642,1.0,313907.999269,2395439.745042,89.410062,2.96381,HP
4137,8,9,H,14015,1.0,314031.486917,2395485.727746,314063.687909,2395477.007042,1.0,314047.587413,2395481.367394,33.360974,1.835273,HV
4138,9,0,H,3443,1.0,305480.970653,2393668.251136,305602.876126,2393673.256256,1.0,305541.92339,2393670.753696,122.008178,1.529762,HV
4139,9,0,H,3444,0.0,305602.876126,2393673.256256,305606.780958,2393620.992864,1.0,305604.828542,2393647.12456,52.409063,3.067017,HP
4140,9,0,H,3445,1.0,305602.876126,2393673.256256,305655.001502,2393672.005024,1.0,305628.938814,2393672.63064,52.140391,1.594796,HV
4141,9,0,H,3475,1.0,305655.001502,2393672.005024,305646.18787,2393706.255712,1.0,305650.594686,2393689.130368,35.366506,2.88973,HP
4142,9,0,H,3478,1.0,305474.563229,2393708.743968,305480.970653,2393668.251136,1.0,305477.766941,2393688.497552,40.99664,2.984658,HP
4143,9,0,H,3482,1.0,305646.18787,2393706.255712,305764.312126,2393710.999136,1.0,305705.249998,2393708.627424,118.219457,1.530662,HV
4144,9,0,H,3523,1.0,305571.155326,2393738.00384,305590.281278,2393738.00384,1.0,305580.718302,2393738.00384,19.125952,1.570796,HV
4145,9,0,H,3528,1.0,305590.281278,2393738.00384,305605.529726,2393739.255136,1.0,305597.905502,2393738.629488,15.299703,1.488919,HV
4146,9,0,H,3529,1.0,305637.250526,2393740.5064,305646.18787,2393706.255712,1.0,305641.719198,2393723.381056,35.397539,2.886345,HP
4147,9,0,H,3562,1.0,305566.09603,2393771.00432,305571.155326,2393738.00384,1.0,305568.625678,2393754.50408,33.386047,2.989467,HP
4148,9,0,H,3610,1.0,305322.188253,2393796.49504,305460.593405,2393805.501408,1.0,305391.390829,2393800.998224,138.697876,1.505815,HV
4149,9,0,H,3632,1.0,305911.654622,2393824.998464,305939.594238,2393827.501024,1.0,305925.62443,2393826.249744,28.05147,1.481464,HV
4150,9,0,H,3633,0.0,305939.594238,2393827.501024,305956.09395,2393835.256064,1.0,305947.844094,2393831.378544,18.231323,1.131427,HO
4151,9,0,H,3689,1.0,305308.218525,2393864.997344,305543.31203,2393863.745184,1.0,305425.765277,2393864.371264,235.09684,1.576122,HV
4152,9,0,H,3693,1.0,305762.937118,2393857.255712,305718.470462,2393866.000352,1.0,305740.70379,2393861.628032,45.318343,1.764975,HV
4153,9,0,H,3694,1.0,305718.470462,2393866.000352,305701.998078,2393872.50416,1.0,305710.23427,2393869.252256,17.709855,1.946839,HO
4154,9,0,H,3702,1.0,305778.061886,2393881.743552,305850.81171,2393873.757728,1.0,305814.436798,2393877.75064,73.186818,1.68013,HV
4155,9,0,H,3724,1.0,305853.438142,2393900.498432,305850.81171,2393873.757728,1.0,305852.124926,2393887.12808,26.869377,0.097904,HP
4156,9,0,H,3730,1.0,305601.624798,2393903.000992,305599.094942,2393860.995232,1.0,305600.35987,2393881.998112,42.081873,0.060154,HP
4157,9,0,H,3739,1.0,305543.31203,2393863.745184,305543.31203,2393916.998176,1.0,305543.31203,2393890.37168,53.252992,0.0,HP
4158,9,0,H,3794,1.0,305543.31203,2393916.998176,305576.311486,2393913.24432,1.0,305559.811758,2393915.121248,33.21228,1.684065,HV
4159,9,0,H,3795,1.0,305576.311486,2393913.24432,305585.125118,2393923.25456,1.0,305580.718302,2393918.24944,13.337354,0.721915,HO
4160,9,0,H,3796,1.0,305585.125118,2393923.25456,305590.157598,2393943.755488,1.0,305587.641358,2393933.505024,21.109569,0.240716,HP
4161,9,0,H,3797,1.0,305590.157598,2393943.755488,305586.376414,2393961.506496,1.0,305588.267006,2393952.630992,18.14926,2.931717,HP
4162,9,0,H,3851,1.0,305473.435645,2393952.50016,305508.937629,2393929.744,1.0,305491.186637,2393941.12208,42.169108,2.140806,HO
4163,9,0,H,3852,1.0,305508.937629,2393929.744,305543.31203,2393916.998176,1.0,305526.124829,2393923.371088,36.661362,1.925875,HO
4164,9,0,H,3861,1.0,305762.978526,2393854.317568,305716.649374,2393863.36768,1.0,305739.81395,2393858.842624,47.204818,1.763711,HV
4165,9,0,H,3862,1.0,305716.649374,2393863.36768,305699.693374,2393870.241728,1.0,305708.171374,2393866.804704,18.296406,1.955954,HO
4166,9,0,H,3863,1.0,305699.693374,2393870.241728,305693.850398,2393877.344928,1.0,305696.771886,2393873.793328,9.197599,2.453232,HO
4167,9,0,H,3878,1.0,305695.563294,2393879.997504,305701.998078,2393872.50416,1.0,305698.780686,2393876.250832,9.877077,2.43205,HO
4168,9,0,H,3978,1.0,305660.157662,2394088.499104,305681.717182,2394081.995296,1.0,305670.937422,2394085.2472,22.519157,1.863782,HV
4169,9,0,H,4029,1.0,305681.717182,2394081.995296,305693.157086,2394107.501376,1.0,305687.437134,2394094.748336,27.954097,0.42162,HO
4170,9,0,H,4030,1.0,305693.157086,2394107.501376,305708.405534,2394125.252352,1.0,305700.78131,2394116.376864,23.401118,0.709708,HO
4171,9,0,H,4035,1.0,305708.405534,2394125.252352,305730.061406,2394130.243136,1.0,305719.23347,2394127.747744,22.223517,1.344292,HV
4172,9,0,H,4088,1.0,305935.689342,2394157.495296,305950.470558,2394169.745952,1.0,305943.07995,2394163.620624,19.197993,0.87874,HO
4173,9,0,H,4097,1.0,305677.935998,2394177.25408,305708.501886,2394170.750272,1.0,305693.218942,2394174.002176,31.250168,1.78045,HV
4174,9,0,H,4133,0.0,305950.470558,2394169.745952,305963.876382,2394204.753568,0.0,305957.17347,2394187.24976,37.486655,0.365714,HO
4175,9,0,H,4209,1.0,305600.469918,2394097.243712,305643.561598,2394253.248801,1.0,305622.015758,2394175.246257,161.84709,0.2695,HP
4176,9,0,H,4210,1.0,305643.561598,2394253.248801,305663.938846,2394235.745248,1.0,305653.750222,2394244.497024,26.862736,2.280478,HO
4177,9,0,H,4285,1.0,305634.720574,2394291.500801,305643.561598,2394253.248801,1.0,305639.141086,2394272.374801,39.260403,2.914455,HP
4178,9,0,H,4287,1.0,305868.342846,2394293.494241,305899.376158,2394262.749985,1.0,305883.859502,2394278.122113,43.683815,2.351516,HO
