,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
576,0,3,C,485,1,308537.47718,2402750.907746,308791.807383,2402951.220915,1,308664.642281,2402851.064331,323.742518,0.903656,HO
577,0,3,C,486,1,308791.807383,2402951.220915,308809.813061,2402962.474464,1,308800.810222,2402956.84769,21.233153,1.012197,HO
578,0,3,C,487,1,308809.813061,2402962.474464,308843.278421,2402987.965306,1,308826.545741,2402975.219885,42.067961,0.919844,HO
579,0,3,C,488,1,308843.278421,2402987.965306,308895.517686,2402992.475171,1,308869.398053,2402990.220239,52.433574,1.484679,HV
580,0,3,C,489,0,308895.517686,2402992.475171,309082.148941,2403140.280535,0,308988.833313,2403066.377853,238.070685,0.900974,HO
1315,0,4,C,30,1,309217.180971,2402704.241623,309247.790623,2402747.455251,1,309232.485797,2402725.848437,52.956288,0.616297,HO
1316,0,4,C,31,1,309247.790623,2402747.455251,309247.790623,2402850.087616,1,309247.790623,2402798.771433,102.632365,0.0,HP
1317,0,4,C,32,1,309247.790623,2402850.087616,309316.2122,2402956.321116,1,309282.001412,2402903.204366,126.360867,0.572194,HO
1321,0,4,C,490,1,309082.148941,2403140.280535,309154.171654,2403131.277696,1,309118.160297,2403135.779115,72.583209,1.695151,HV
1322,0,4,C,491,1,309154.171654,2403131.277696,309269.633064,2403099.317617,1,309211.902359,2403115.297656,119.803105,1.840838,HV
1323,0,4,C,492,1,309132.883221,2403133.93875,309141.452716,2403179.703259,1,309137.167969,2403156.821005,46.559924,0.185108,HP
1324,0,4,C,493,1,309141.452716,2403179.703259,309152.805458,2403203.687161,1,309147.129087,2403191.69521,26.535115,0.4421,HO
1325,0,4,C,494,1,309241.123639,2403192.788321,309265.477583,2403147.338954,1,309253.300611,2403170.063637,51.563161,2.64968,HO
1326,0,4,C,495,1,309265.477583,2403147.338954,309263.995734,2403098.565973,1,309264.736659,2403122.952464,48.795487,0.030373,HP
1327,0,4,C,496,1,309263.995734,2403098.565973,309273.410707,2403043.418776,1,309268.703221,2403070.992375,55.945108,2.972499,HP
1328,0,4,C,497,1,309273.410707,2403043.418776,309284.356495,2402979.304992,1,309278.883601,2403011.361884,65.04143,2.972499,HP
