field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"157","0","4",H,"12337",1,309192.281441,2403442.001769,309204.189441,2403442.001769,1,309198.235441,2403442.001769,11.908,1.570796,HV,"1","0","0",
"158","0","4",H,"12338",1,309204.189441,2403442.001769,309206.940961,2403445.764585,1,309205.565201,2403443.883177,4.661507,0.631386,HO,"1","0","0",
"159","0","4",H,"12339",1,309118.967905,2403410.499977,309104.062849,2403479.249193,1,309111.515377,2403444.874585,70.346396,2.928094,HP,"1","0","0",
"171","0","5",H,"11617",1,310360.406946,2402624.24708,310338.874786,2402627.50612,1,310349.640866,2402625.8766,21.777402,1.721013,HV,"1","0","0",
"172","0","5",H,"11618",1,310338.874786,2402627.50612,310308.281538,2402643.496744,1,310323.578162,2402635.501432,34.520239,2.052427,HO,"1","0","0",
"173","0","5",H,"11642",0,309947.501346,2402657.755624,309900.53213,2402466.743272,1,309924.016738,2402562.249448,196.702379,0.241113,HP,"0","0","0",
"174","0","5",H,"11643",1,309947.501346,2402657.755624,309967.905954,2402657.755624,1,309957.70365,2402657.755624,20.404608,1.570796,HV,"1","0","0",
"175","0","5",H,"11651",1,310674.437986,2402583.506888,310712.628322,2402661.90164,1,310693.533154,2402622.704264,87.202287,0.453318,HO,"0","0","0",
"176","0","5",H,"11663",1,310218.468034,2402668.493704,310256.032258,2402612.99988,1,310237.250146,2402640.746792,67.012204,2.546533,HO,"1","1","0",
"177","0","5",H,"11664",1,310256.032258,2402612.99988,310282.157026,2402591.247624,1,310269.094642,2402602.123752,33.995061,2.265119,HO,"1","0","0",
"178","0","5",H,"11665",1,310282.157026,2402591.247624,310301.40669,2402581.004296,1,310291.781858,2402586.12596,21.805397,2.059817,HO,"1","0","0",
"179","0","5",H,"11666",1,310301.40669,2402581.004296,310325.24813,2402560.751144,1,310313.32741,2402570.87772,31.282654,2.274996,HO,"1","0","0",
"180","0","5",H,"11671",1,310764.93901,2402634.50468,310792.34221,2402689.25636,1,310778.64061,2402661.88052,61.22648,0.464047,HO,"0","0","0",
"181","0","5",H,"11676",1,310072.28045,2402696.749736,310061.404322,2402684.25124,1,310066.842386,2402690.500488,16.568119,0.716102,HO,"1","0","0",
"182","0","5",H,"11677",1,310061.404322,2402684.25124,310047.187138,2402650.757064,1,310054.29573,2402667.504152,36.386648,0.401419,HO,"1","0","0",
"183","0","5",H,"11682",1,310101.595042,2402715.9994,310068.939362,2402637.99684,1,310085.267202,2402676.99812,84.56236,0.396479,HO,"0","0","0",
"184","0","5",H,"11686",1,310714.876098,2402666.500232,310730.124514,2402699.499656,1,310722.500306,2402682.999944,36.352114,0.432855,HO,"1","0","1",
"185","0","5",H,"11687",1,310730.124514,2402699.499656,310735.624418,2402734.24516,1,310732.874466,2402716.872408,35.178104,0.156989,HP,"0","0","0",
"186","0","5",H,"11688",1,310735.624418,2402734.24516,310802.65453,2402715.504616,1,310769.139474,2402724.874888,69.600603,1.843419,HV,"0","0","0",
"187","0","5",H,"11805",1,310020.93869,2402893.495721,310020.938882,2402850.252233,1,310020.938786,2402871.873977,43.243488,3.141588,HP,"0","0","0",
"188","0","5",H,"11806",1,310727.15453,2402896.754057,310788.437314,2402870.244105,1,310757.795922,2402883.499081,66.770931,1.979073,HO,"1","0","0",
"189","0","5",H,"11807",1,310788.437314,2402870.244105,310794.968162,2402875.003593,1,310791.702738,2402872.623849,8.081132,0.941021,HO,"1","0","0",
"191","0","5",H,"11864",1,309978.905762,2402992.245897,310021.969858,2402986.498889,1,310000.43781,2402989.372393,43.44588,1.703465,HV,"0","0","0",
"192","0","5",H,"11872",1,310717.626146,2403014.755177,310711.094882,2402993.002409,1,310714.360514,2403003.878793,22.712118,0.291686,HP,"0","0","0",
"194","0","5",H,"11890",1,310642.373442,2403024.997929,310671.468002,2403006.999529,1,310656.920722,2403015.998729,34.211633,2.124793,HO,"1","0","0",
"195","0","5",H,"11891",1,310694.155074,2403026.001801,310717.626146,2403014.755177,1,310705.89061,2403020.378489,26.026482,2.017641,HO,"0","0","0",
"196","0","5",H,"11914",1,310290.976514,2402976.133385,310299.000482,2402987.749865,1,310294.988498,2402981.941625,14.11831,0.604484,HO,"0","1","0",
"197","0","5",H,"11926",1,310172.177698,2403020.973577,310164.157986,2402996.226985,1,310168.167842,2403008.600281,26.013643,0.313394,HP,"0","0","0",
"198","0","5",H,"11927",1,310164.157986,2402996.226985,310149.435714,2402973.972489,1,310156.79685,2402985.099737,26.683476,0.584446,HO,"0","0","0",
"199","0","5",H,"11928",1,310149.435714,2402973.972489,310185.12381,2402936.881033,1,310167.279762,2402955.426761,51.472481,2.375474,HO,"0","0","0",
"200","0","5",H,"11929",1,310185.12381,2402936.881033,310175.958434,2402929.548745,1,310180.541122,2402933.214889,11.7374,0.896056,HO,"0","0","0",
"201","0","5",H,"11930",1,310175.958434,2402929.548745,310154.190594,2402919.237641,1,310165.074514,2402924.393193,24.086464,1.128421,HO,"0","0","0",
"202","0","5",H,"11931",1,310154.190594,2402919.237641,310147.201954,2402902.739913,1,310150.696274,2402910.988777,17.916923,0.400695,HO,"0","0","0",
"203","0","5",H,"11932",1,310147.201954,2402902.739913,310143.535426,2402879.804041,1,310145.36869,2402891.271977,23.227089,0.158519,HP,"0","0","0",
"204","0","5",H,"11933",1,310143.535426,2402879.804041,310143.64493,2402834.147913,1,310143.590178,2402856.975977,45.656259,3.139194,HP,"0","0","0",
"205","0","5",H,"11941",1,310252.37501,2402992.245897,310263.842242,2403011.742953,1,310258.108626,2403001.994425,22.619297,0.531662,HO,"0","0","0",
"207","0","5",H,"11947",1,310675.249154,2403066.494601,310699.751362,2403096.744073,1,310687.500258,2403081.619337,38.927994,0.680812,HO,"1","0","0",
"208","0","5",H,"11985",0,310868.529698,2403152.499625,310993.061379,2403045.746249,0,310930.795539,2403099.122937,164.025677,2.279478,HO,"0","1","0",
"213","0","5",H,"12010",1,310868.529698,2403152.499625,310887.311939,2403177.001801,1,310877.920818,2403164.750713,30.872791,0.654012,HO,"0","1","0",
"214","0","5",H,"12011",1,310887.311939,2403177.001801,310899.563043,2403204.995849,1,310893.437491,2403190.998825,30.557426,0.412522,HO,"0","1","0",
"218","0","5",H,"12036",1,309979.249538,2403185.251689,309992.531842,2403186.997737,1,309985.89069,2403186.124713,13.396577,1.440089,HV,"1","0","0",
"219","0","5",H,"12037",1,309992.531842,2403186.997737,310023.468802,2403199.496233,1,310008.000322,2403193.246985,33.366269,1.186847,HO,"1","0","0",
"220","0","5",H,"12038",1,310023.468802,2403199.496233,310041.123426,2403201.256585,1,310032.296114,2403200.376409,17.74217,1.471414,HV,"0","0","0",
"221","0","5",H,"12039",1,310041.123426,2403201.256585,310057.032002,2403236.249449,1,310049.077714,2403218.753017,38.439346,0.426692,HO,"0","0","0",
"222","0","5",H,"12064",1,310124.062082,2403263.996393,310120.624642,2403218.745865,1,310122.343362,2403241.371129,45.380902,0.075819,HP,"0","0","0",
"223","0","5",H,"12071",1,310057.032002,2403236.249449,310045.248386,2403241.501993,1,310051.140194,2403238.875721,12.901272,1.99011,HO,"0","0","0",
"224","0","5",H,"12072",1,310045.248386,2403241.501993,310067.00061,2403290.753737,1,310056.124498,2403266.127865,53.841374,0.415892,HO,"0","0","0",
"225","0","5",H,"12073",1,310067.00061,2403290.753737,310124.062082,2403263.996393,1,310095.531346,2403277.375065,63.023544,2.009273,HO,"0","0","0",
