,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
4529,9,2,H,4492,1.0,307143.001791,2394442.253377,307174.990815,2394452.319713,1.0,307158.996303,2394447.286545,33.535485,1.265926,HV,1,0,0,0,1,0
4533,9,2,H,4520,1.0,307353.135103,2394466.808225,307397.812447,2394453.005825,1.0,307375.473775,2394459.907025,46.760788,1.87043,HV,1,0,0,0,1,0
4536,9,2,H,4533,1.0,307810.126912,2394470.000321,307801.43696,2394434.250913,1.0,307805.781936,2394452.125617,36.790426,0.238455,HP,1,0,0,0,1,0
4537,9,2,H,4538,1.0,307320.365439,2394472.166913,307343.624575,2394469.752897,1.0,307331.995007,2394470.959905,23.384073,1.674214,HV,1,0,0,0,1,0
4538,9,2,H,4539,1.0,307343.624575,2394469.752897,307352.209919,2394467.094913,1.0,307347.917247,2394468.423905,8.987381,1.871033,HV,1,0,0,0,1,0
4541,9,2,H,4595,1.0,307822.173568,2394482.004961,307833.379808,2394517.371233,1.0,307827.776688,2394499.688097,37.099232,0.306854,HP,1,0,0,0,1,0
4549,9,2,H,4626,1.0,307317.157631,2394500.583681,307338.000991,2394502.999713,1.0,307327.579311,2394501.791697,20.982918,1.455398,HV,1,0,0,0,1,0
4551,9,2,H,4632,1.0,307460.593919,2394508.499617,307488.313503,2394472.502849,1.0,307474.453711,2394490.501233,45.432837,2.485378,HO,1,0,0,0,1,0
4557,9,2,H,4672,1.0,307148.627967,2394575.748161,307174.990815,2394452.319713,1.0,307161.809391,2394514.033937,126.212446,2.931166,HP,1,0,0,0,1,0
4559,9,2,H,4677,1.0,307151.031583,2394579.503617,307177.966591,2394453.254753,1.0,307164.499087,2394516.379185,129.090164,2.931396,HP,1,0,0,0,1,0
4563,9,2,H,4691,1.0,307219.780351,2394463.001729,307200.187007,2394497.499841,1.0,307209.983679,2394480.250785,39.673907,2.62507,HO,1,0,0,0,1,0
4564,9,2,H,4692,1.0,307200.187007,2394497.499841,307189.063455,2394546.504161,1.0,307194.625231,2394522.002001,50.250938,2.918384,HP,1,0,0,0,1,0
4567,9,2,H,4835,1.0,307485.687263,2394544.001633,307442.375487,2394585.003521,1.0,307464.031375,2394564.502577,59.641133,2.328805,HO,1,0,0,0,1,0
4573,9,2,H,14096,1.0,307248.751615,2393941.69104,307263.532223,2393939.245152,1.0,307256.141919,2393940.468096,14.981613,1.73479,HV,1,0,0,0,1,0
4584,9,3,H,3418,0.0,307921.032544,2393613.746912,307934.095392,2393641.244672,0.0,307927.563968,2393627.495792,30.442812,0.44349,HO,1,0,0,0,1,0
4588,9,3,H,3510,1.0,308084.754528,2393731.158336,308082.468576,2393724.748864,1.0,308083.611552,2393727.9536,6.804918,0.342589,HP,1,0,0,0,1,0
4594,9,3,H,3571,1.0,308817.408353,2393778.741088,308820.510849,2393779.046048,1.0,308818.959601,2393778.893568,3.117448,1.472816,HV,1,0,0,0,1,0
4595,9,3,H,3572,1.0,308820.510849,2393779.046048,308827.614049,2393767.932992,1.0,308824.062449,2393773.48952,13.189218,2.572864,HO,1,0,0,0,1,0
4596,9,3,H,3573,1.0,308827.614049,2393767.932992,308854.079105,2393759.68416,1.0,308840.846577,2393763.808576,27.720794,1.872941,HV,1,0,0,0,1,0
