,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
6477,12,4,H,991,1.0,309147.600929,2390992.307261,309244.983265,2391025.99011,1.0,309196.292097,2391009.148686,103.04297,1.237794,HV,1,0,0,0,1,0
6479,12,4,H,999,1.0,309242.579041,2391030.68419,309264.338369,2391043.072574,1.0,309253.458705,2391036.878382,25.038778,1.053229,HO,1,0,0,0,1,0
6505,12,4,H,1145,1.0,309079.628577,2391276.768734,309079.089601,2391276.205438,1.0,309079.359089,2391276.487086,0.779614,0.763338,HO,1,1,0,0,1,1
6509,12,4,H,1170,1.0,309605.998145,2391318.250206,309620.751809,2391307.49779,1.0,309613.374977,2391312.873998,18.256096,2.200588,HO,1,0,0,0,1,0
6520,12,4,H,1268,1.0,309074.873441,2391425.941374,309076.225409,2391381.378366,1.0,309075.549425,2391403.65987,44.583512,3.111264,HP,1,1,0,0,1,1
6521,12,4,H,1271,1.0,309096.274689,2391314.356382,309096.962145,2391290.526366,1.0,309096.618417,2391302.441374,23.83993,3.112752,HP,1,1,0,0,1,0
6531,12,4,H,1289,1.0,309231.124449,2391429.499582,309249.906689,2391437.502046,1.0,309240.515569,2391433.500814,20.415973,1.168024,HO,1,0,0,0,1,0
6532,12,4,H,1290,1.0,309249.906689,2391437.502046,309278.093697,2391443.00195,1.0,309264.000193,2391440.251998,28.718572,1.378096,HV,1,0,0,0,1,0
6533,12,4,H,1291,1.0,309278.093697,2391443.00195,309302.032097,2391440.251966,1.0,309290.062897,2391441.626958,24.095838,1.685172,HV,1,0,0,0,1,0
6537,12,4,H,1302,1.0,309565.780065,2391407.747358,309564.501473,2391426.74963,1.0,309565.140769,2391417.248494,19.045239,3.074408,HP,1,0,0,0,1,0
6538,12,4,H,1303,1.0,309564.501473,2391426.74963,309556.499041,2391451.993982,1.0,309560.500257,2391439.371806,26.482376,2.834614,HP,1,0,0,0,1,0
6539,12,4,H,1304,1.0,309011.719393,2391452.50307,309037.032769,2391433.74819,1.0,309024.376081,2391443.12563,31.504167,2.208453,HO,1,0,0,0,1,0
6541,12,4,H,1335,1.0,309484.189089,2391423.999678,309426.563489,2391430.750686,1.0,309455.376289,2391427.375182,58.019703,1.687418,HV,1,0,0,0,1,0
6544,12,4,H,1344,1.0,308994.200897,2391455.763518,308987.777569,2391497.013022,1.0,308990.989233,2391476.38827,41.746625,2.987114,HP,1,0,0,0,1,0
6545,12,4,H,1368,1.0,308988.935937,2391456.75171,308982.281121,2391496.749758,1.0,308985.608529,2391476.750734,40.547878,2.976724,HP,1,0,0,0,1,0
6549,12,4,H,1376,1.0,309555.124033,2391437.254654,309559.125249,2391411.995966,1.0,309557.124641,2391424.62531,25.57364,2.984489,HP,1,0,0,0,1,0
6550,12,4,H,1379,1.0,308950.092609,2391531.493758,308970.126369,2391529.996574,1.0,308960.109489,2391530.745166,20.089627,1.645391,HV,1,0,0,0,1,0
6551,12,4,H,1401,1.0,308927.282049,2391524.74403,308950.092609,2391531.493758,1.0,308938.687329,2391528.118894,23.788242,1.283102,HV,1,0,0,0,1,0
6558,12,4,H,1457,1.0,309552.596865,2391538.106622,309570.469409,2391582.673374,1.0,309561.533137,2391560.389998,48.016905,0.381393,HO,1,0,0,0,1,0
6559,12,4,H,1458,1.0,309570.469409,2391582.673374,309575.281249,2391590.005694,1.0,309572.875329,2391586.339534,8.770218,0.580757,HO,1,0,0,0,1,0
6561,12,4,H,1469,1.0,308984.907361,2391603.750462,308999.591521,2391614.851294,1.0,308992.249441,2391609.300878,18.407961,0.923483,HO,1,1,0,1,1,0
6562,12,4,H,1470,1.0,309521.657185,2391616.743742,309592.688481,2391623.247518,1.0,309557.172833,2391619.99563,71.328424,1.479489,HV,1,0,0,0,1,0
6563,12,4,H,1471,1.0,309592.688481,2391623.247518,309567.155073,2391584.50083,1.0,309579.921777,2391603.874174,46.403241,0.582664,HO,1,0,0,0,1,0
6564,12,4,H,1472,1.0,309567.155073,2391584.50083,309549.721761,2391539.250494,1.0,309558.438417,2391561.875662,48.492404,0.367738,HO,1,0,0,0,1,0
6566,12,4,H,1476,1.0,309071.874625,2391602.251774,309070.623297,2391626.506558,1.0,309071.248961,2391614.379166,24.287041,3.090047,HP,1,0,0,0,1,0
6568,12,4,H,1486,1.0,309596.132545,2391621.855422,309575.281249,2391590.005694,1.0,309585.706897,2391605.930558,38.068119,0.579656,HO,1,0,0,0,1,0
6569,12,4,H,1491,1.0,309001.294241,2391616.132414,309034.530209,2391641.245886,1.0,309017.912225,2391628.68915,41.657125,0.923714,HO,1,1,0,1,1,0
6585,12,4,H,14472,1.0,309062.469825,2391127.252222,309067.612257,2391175.731966,1.0,309065.041041,2391151.492094,48.75172,0.105679,HP,1,1,0,0,1,0
6607,12,4,H,14764,1.0,309074.506881,2391152.701726,309071.413569,2391131.163006,1.0,309072.960225,2391141.932366,21.759711,0.142641,HP,1,1,0,0,1,0
6609,12,4,H,14766,1.0,309078.860449,2391111.228286,309064.195841,2391072.73363,1.0,309071.528145,2391091.980958,41.193316,0.363978,HO,1,1,0,0,1,0
6610,12,4,H,14767,1.0,309064.195841,2391072.73363,309061.446241,2391040.311006,1.0,309062.821041,2391056.522318,32.539005,0.084603,HP,1,1,0,0,1,0
6612,12,4,H,14769,1.0,309062.821025,2390990.703325,309074.621473,2390974.663869,1.0,309068.721249,2390982.683597,19.912677,2.507298,HO,1,1,0,0,1,0
6613,13,0,H,318,0.0,305959.40771,2389448.006556,305938.783038,2389452.255164,1.0,305949.095374,2389450.13086,21.057725,1.773951,HV,1,0,0,0,1,0
6614,13,0,H,319,1.0,305938.783038,2389452.255164,305904.876094,2389490.507164,1.0,305921.829566,2389471.381164,51.116498,2.416337,HO,1,0,0,0,1,0
6622,13,0,H,606,1.0,305758.592158,2390194.756637,305777.841822,2390194.756637,1.0,305768.21699,2390194.756637,19.249664,1.570796,HV,1,0,0,0,1,0
6623,13,0,H,612,1.0,305777.841822,2390194.756637,305922.998174,2390229.749533,1.0,305850.419998,2390212.253085,149.314665,1.33424,HV,1,0,0,0,1,0
6648,13,0,H,702,1.0,305643.905566,2390459.495677,305680.562238,2390460.992957,1.0,305662.233902,2390460.244317,36.687238,1.529973,HV,1,0,0,0,1,0
6654,13,0,H,715,1.0,305665.620638,2390554.097341,305669.44755,2390520.518461,1.0,305667.534094,2390537.307901,33.796249,3.028114,HP,1,0,0,0,1,0
6656,13,0,H,724,1.0,305667.719518,2390563.250141,305672.532446,2390521.753565,1.0,305670.125982,2390542.501853,41.774754,3.026125,HP,1,0,0,0,1,0
6659,13,0,H,729,1.0,305899.032478,2390550.256989,305919.780542,2390577.246141,1.0,305909.40651,2390563.751565,34.042569,0.655397,HO,1,0,0,0,1,0
6660,13,0,H,764,1.0,305953.689438,2390652.156509,305932.609022,2390616.526013,1.0,305943.14923,2390634.341261,41.399471,0.53425,HO,1,0,0,0,1,0
6661,13,0,H,773,1.0,305919.780542,2390577.246141,305930.876926,2390607.496893,1.0,305925.328734,2390592.371517,32.221697,0.351574,HO,1,0,0,0,1,0
6666,13,0,H,14648,0.0,305928.498078,2389553.755996,305994.813342,2389568.495324,0.0,305961.65571,2389561.12566,67.933512,1.35209,HV,1,0,0,0,1,0
6679,13,1,H,30,1.0,306639.498783,2388522.247867,306666.530847,2388508.745499,1.0,306653.014815,2388515.496683,30.216658,2.034039,HO,1,0,0,0,1,0
6681,13,1,H,32,1.0,306796.218687,2388502.255995,306812.939167,2388472.011323,1.0,306804.578927,2388487.133659,34.558858,2.636571,HO,1,0,0,0,1,0
