,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
1435,4,2,H,12985,1.0,307833.281472,2399156.499845,307869.93856,2399159.249765,1.0,307851.610016,2399157.874805,36.760089,1.495919,HV,1,1,0,1,1,0
1448,4,3,H,9076,1.0,308457.562304,2398802.003397,308504.761824,2398803.215269,1.0,308481.162064,2398802.609333,47.215075,1.545126,HV,0,1,0,1,0,0
1455,4,3,H,9113,1.0,308513.70048,2398844.442309,308537.407296,2398843.252677,1.0,308525.553888,2398843.847493,23.736646,1.620935,HV,0,1,0,1,0,0
1464,4,3,H,9250,1.0,308568.8016,2399034.315141,308584.28016,2399035.501957,1.0,308576.54088,2399034.908549,15.523993,1.494271,HV,1,1,1,1,0,0
1480,4,3,H,9628,1.0,307971.094912,2399383.754213,307968.125472,2399402.249509,1.0,307969.610192,2399393.001861,18.732153,2.9824,HP,0,1,0,1,0,0
1600,4,6,H,9182,1.0,311771.188515,2398890.249253,311790.988835,2398885.479621,1.0,311781.088675,2398887.864437,20.36669,1.807179,HV,0,1,0,1,0,0
1601,4,6,H,9191,1.0,311811.294147,2398930.227685,311859.310723,2398916.002725,1.0,311835.302435,2398923.115205,50.079348,1.85881,HV,0,1,0,1,0,0
1645,4,7,H,8996,1.0,312418.376548,2398614.002757,312460.2057,2398617.415653,1.0,312439.291124,2398615.709205,41.968152,1.489385,HV,0,1,0,1,0,0
1653,4,7,H,9059,1.0,312430.65498,2398758.251557,312455.7521,2398725.966565,1.0,312443.20354,2398742.109061,40.892373,2.480809,HO,0,1,0,1,0,0
1685,4,7,H,9375,1.0,312028.432484,2399183.464869,312066.093572,2399154.506405,1.0,312047.263028,2399168.985637,47.50737,2.226298,HO,1,1,0,1,1,0
1686,4,7,H,9378,1.0,312024.618852,2399185.369701,312028.432484,2399183.464869,1.0,312026.525668,2399184.417285,4.262883,2.034028,HO,1,1,1,1,0,0
1688,4,7,H,9416,1.0,312071.935236,2399164.518469,312068.97226,2399165.912101,1.0,312070.453748,2399165.215285,3.274361,2.010443,HO,1,1,0,1,1,0
1709,4,7,H,9522,1.0,312183.53034,2399343.001829,312181.124132,2399328.495557,1.0,312182.327236,2399335.748693,14.704481,0.164377,HP,1,1,1,1,0,0
1712,4,7,H,9534,1.0,312286.282852,2399384.744613,312269.57706,2399346.561861,1.0,312277.929956,2399365.653237,41.677404,0.412429,HO,0,1,0,1,0,0
1716,4,7,H,9589,1.0,312152.937124,2399455.749829,312206.65754,2399432.498949,1.0,312179.797332,2399444.124389,58.536198,1.979266,HO,1,1,1,1,0,0
1727,4,7,H,13209,1.0,312571.5209,2399205.801509,312577.427652,2399237.264869,1.0,312574.474276,2399221.533189,32.013009,0.185574,HP,1,1,0,1,1,0
1731,4,7,H,13225,1.0,312825.68586,2399197.254341,312828.188452,2399183.242853,1.0,312826.937156,2399190.248597,14.233227,2.964846,HP,0,1,0,1,0,0
1743,4,8,H,9146,0.0,313871.004997,2398877.045413,313920.937733,2398867.754853,0.0,313895.971365,2398872.400133,50.78969,1.754754,HV,0,1,0,1,0,0
1746,4,8,H,9278,1.0,313586.405797,2399070.000037,313624.782821,2399078.018501,1.0,313605.594309,2399074.009269,39.205762,1.36482,HV,1,1,0,1,1,0
1749,4,8,H,9290,1.0,313570.706277,2399088.447333,313595.466789,2399094.502213,1.0,313583.086533,2399091.474773,25.490087,1.330965,HV,1,1,0,1,1,0
1751,4,8,H,9314,1.0,313731.094693,2399134.500229,313752.420677,2399099.649733,1.0,313741.757685,2399117.074981,40.857737,2.592449,HO,1,1,1,1,0,0
1759,4,8,H,9350,1.0,313090.439909,2399170.934213,313106.470373,2399122.248933,1.0,313098.455141,2399146.591573,51.256534,2.823506,HP,0,1,0,1,0,0
