Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"0",,H,"11969","1",308448.060224,2403139.550857,308448.061152,2403134.501257,"1",308448.060688,2403137.026057,5.0496,3.141409,HP
B,"0",,H,"11970","1",308448.061152,2403134.501257,308452.74992,2403125.247497,"1",308450.405536,2403129.874377,10.373843,2.672609,HO
B,"0",,H,"11971","1",308452.74992,2403125.247497,308454.013472,2403117.477801,"1",308453.381696,2403121.362649,7.871769,2.980378,HP
B,"0",,H,"11972","1",308454.013472,2403117.477801,308456.531104,2403101.996617,"1",308455.272288,2403109.737209,15.684563,2.980379,HP
B,"0",,H,"11973","1",308456.531104,2403101.996617,308454.688672,2403085.002089,"1",308455.609888,2403093.499353,17.094108,0.107991,HP
B,"0",,H,"11977","1",308149.595008,2403112.749033,308149.595008,2403144.497193,"1",308149.595008,2403128.623113,31.74816,0,HP
B,"0",,H,"11978","1",308918.124641,2403146.504969,308875.500385,2403100.250537,"1",308896.812513,2403123.377753,62.899123,0.744577,HO
B,"0",,H,"11979","1",308875.500385,2403100.250537,308800.467873,2403018.755849,"1",308837.984129,2403059.503193,110.775729,0.744137,HO
B,"0",,H,"11982","1",308149.595008,2403144.497193,308173.65712,2403148.003625,"1",308161.626064,2403146.250409,24.316256,1.426091,HV
B,"0",,H,"11983","1",308235.65472,2403149.502281,308251.219552,2403150.753577,"1",308243.437136,2403150.127929,15.615048,1.490576,HV
B,"0",,H,"11984","1",308251.219552,2403150.753577,308251.708384,2403104.504873,"1",308251.463968,2403127.629225,46.251287,3.131023,HP
B,"0",,H,"11986","1",308444.28,2403153.503529,308439.68784,2403141.255753,"1",308441.98392,2403147.379641,13.080365,0.358717,HO
B,"0",,H,"11994","1",308448.060224,2403139.550857,308448.061152,2403144.002409,"1",308448.060688,2403141.776633,4.451552,0.000208,HP
B,"0",,H,"11995","1",308448.061152,2403144.002409,308452.050144,2403149.299081,"1",308450.055648,2403146.650745,6.630746,0.64549,HO
B,"0",,H,"11996","1",308452.050144,2403149.299081,308456.531104,2403155.249577,"1",308454.290624,2403152.274329,7.448987,0.645444,HO
B,"0",,H,"12003","1",308830.937345,2403177.249193,308850.407329,2403184.493705,"1",308840.672337,2403180.871449,20.7741,1.214583,HO
B,"0",,H,"12008","1",308319.870144,2403204.506025,308318.12592,2403197.255369,"1",308318.998032,2403200.880697,7.457502,0.236075,HP
B,"0",,H,"12009","1",308318.12592,2403197.255369,308305.063648,2403163.746857,"1",308311.594784,2403180.501113,35.964473,0.371699,HO
