,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
620,1,6,H,10861,1.0,311834.093219,2401592.546503,311850.716355,2401583.991719,1.0,311842.404787,2401588.269111,18.695266,2.04608,HO,0,1,0,1,0,0
621,1,6,H,10862,1.0,311850.716355,2401583.991719,311861.373155,2401573.503559,1.0,311856.044755,2401578.747639,14.95222,2.348219,HO,0,1,0,0,0,1
622,1,6,H,10863,1.0,311861.373155,2401573.503559,311865.250691,2401560.248551,1.0,311863.311923,2401566.876055,13.810522,2.857,HP,0,1,0,0,0,1
624,1,6,H,10925,1.0,311832.832963,2401594.952423,311834.093219,2401609.387943,1.0,311833.463091,2401602.170183,14.490427,0.087082,HP,0,1,0,0,0,1
625,1,6,H,10926,1.0,311834.093219,2401609.387943,311845.091651,2401623.136039,1.0,311839.592435,2401616.261991,17.606125,0.674739,HO,0,1,0,0,0,1
626,1,6,H,10927,1.0,311845.091651,2401623.136039,311864.682691,2401625.656519,1.0,311854.887171,2401624.396279,19.75251,1.442844,HV,0,1,0,0,0,1
627,1,6,H,10928,1.0,311864.682691,2401625.656519,311871.442179,2401633.561671,1.0,311868.062435,2401629.609095,10.401063,0.707432,HO,0,1,0,0,0,1
628,1,6,H,10929,0.0,311871.442179,2401633.561671,311894.011971,2401634.936455,1.0,311882.727075,2401634.249063,22.611624,1.509959,HV,0,1,0,0,0,1
636,1,6,H,11306,1.0,311410.435651,2402300.494888,311460.374915,2402301.49876,1.0,311435.405283,2402300.996824,49.949353,1.550697,HV,1,1,0,0,1,1
637,1,6,H,11313,1.0,311487.406947,2402317.256264,311536.094947,2402312.003784,1.0,311511.750947,2402314.630024,48.9705,1.678261,HV,1,1,0,0,1,1
638,1,6,H,11314,1.0,311536.094947,2402312.003784,311551.810819,2402306.751272,1.0,311543.952883,2402309.377528,16.570381,1.893342,HV,1,1,0,0,1,1
639,1,6,H,11315,1.0,311551.810819,2402306.751272,311568.408643,2402305.016328,1.0,311560.109731,2402305.8838,16.688253,1.674947,HV,1,1,1,0,0,1
667,1,6,H,12734,1.0,311790.613315,2402378.042696,311822.553027,2402370.8482,1.0,311806.583171,2402374.445448,32.739975,1.792351,HV,1,1,1,0,0,1
669,1,6,H,14780,1.0,311865.713827,2401623.937991,311888.969059,2401587.995495,1.0,311877.341443,2401605.966743,42.809682,2.567321,HO,0,1,0,1,0,0
675,1,7,H,10938,1.0,311967.907972,2401693.022151,311949.233475,2401690.157991,1.0,311958.570723,2401691.590071,18.892862,1.418609,HV,1,1,1,0,0,1
676,1,7,H,10939,1.0,311949.233475,2401690.157991,311938.079875,2401684.995271,1.0,311943.656675,2401687.576631,12.290503,1.137287,HO,1,1,1,0,0,1
677,1,7,H,10945,1.0,312042.847172,2401693.020519,312028.857892,2401699.437927,1.0,312035.852532,2401696.229223,15.391006,2.000893,HO,0,1,0,0,0,1
678,1,7,H,10946,1.0,312028.857892,2401699.437927,312016.7137,2401702.187591,1.0,312022.785796,2401700.812759,12.451588,1.79346,HV,0,1,0,0,0,1
679,1,7,H,10947,1.0,312016.7137,2401702.187591,312008.433572,2401702.168583,1.0,312012.573636,2401702.178087,8.28015,1.568501,HV,0,1,0,0,0,1
680,1,7,H,10952,1.0,312139.085348,2401716.722631,312124.56842,2401715.258375,1.0,312131.826884,2401715.990503,14.590588,1.470271,HV,0,1,0,0,0,1
685,1,7,H,11017,1.0,312316.256644,2401779.839048,312327.764356,2401783.530472,1.0,312322.0105,2401781.68476,12.085282,1.260388,HV,0,1,0,0,0,1
686,1,7,H,11018,1.0,312327.764356,2401783.530472,312332.117924,2401791.550184,1.0,312329.94114,2401787.540328,9.125203,0.497344,HO,0,1,0,1,0,0
687,1,7,H,11021,1.0,312370.38346,2401778.718632,312378.861444,2401787.196616,1.0,312374.622452,2401782.957624,11.98968,0.785398,HO,0,1,0,0,0,1
688,1,7,H,11024,1.0,312381.611076,2401811.943208,312386.652036,2401822.36884,1.0,312384.131556,2401817.156024,11.580375,0.450374,HO,1,1,1,0,0,1
689,1,7,H,11025,1.0,312386.652036,2401822.36884,312382.75674,2401836.918888,1.0,312384.704388,2401829.643864,15.062444,2.88001,HP,1,1,1,0,0,0
