field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"7633","2","6",,"1000859",,311414.436867,2400681.748167,311430.936579,2400796.256583,,,,115.817108,0.1574745,,"0","0","0",
"7657","2","6",,"1000896",,311576.780643,2400692.748487,311534.309091,2400743.421735,,,,66.175449,2.4139065,,"0","0","0",
"7821","3","6",,"1001206",,311397.476643,2400468.525222,311341.109411,2400472.993318,,,,56.544044,1.6502215,,"0","0","0",
"7828","3","7",,"1001218",,312027.240612,2399694.516966,312095.765284,2399637.796614,,,,89.016872,2.2550585,,"0","0","0",
"7830","3","7",,"1001222",,312030.715172,2399699.415526,312189.936612,2399530.107781,,,,233.703542,2.42495525,,"0","0","0",
"7831","3","7",,"1001225",,312629.998756,2399845.009158,312443.126084,2399838.749734,,,,187.958985,1.50680025,,"0","0","0",
"7832","3","7",,"1001226",,312146.282692,2399861.754694,312071.937252,2399862.000646,,,,74.345847,1.5740995,,"0","0","0",
"7833","3","7",,"1001227",,312837.029444,2399943.00055,312823.063076,2400078.654694,,,,136.373092,3.039143,,"0","0","0",
"7834","3","7",,"1001228",,312113.062788,2400028.249062,312196.936356,2400025.251718,,,,83.974755,1.604542,,"0","0","0",
"7835","3","7",,"1001229",,311994.154724,2400066.500998,312011.561956,2400159.751974,,,,95.18464,0.167809,,"0","0","0",
"7836","3","7",,"1001230",,312656.56378,2400096.750438,312646.375204,2400183.250278,,,,87.13768,3.031646,,"0","0","0",
"7837","3","7",,"1001231",,312823.063076,2400078.654694,312812.318564,2400156.22103,,,,78.307061,3.015563,,"0","0","0",
"7838","3","7",,"1001234",,312006.749572,2400232.749414,312035.376644,2400248.754374,,,,32.797389,1.062874,,"0","0","0",
"7962","4","6",,"1001432",,311661.905219,2399472.249605,311600.537155,2399475.868357,,,,61.474666,1.629696,,"0","0","0",
"8570","7","4",,"1002473",,309797.312545,2396012.752226,309757.561953,2396017.000834,,,,40.007229,1.679926,,"0","0","0",
"8573","7","4",,"1002476",,309764.656897,2396179.000642,309848.530434,2396179.000642,,,,83.929048,1.577772,,"0","0","0",
"8585","7","4",,"1002496",,309574.489921,2395842.816162,309583.998529,2395883.257026,,,,41.554636,0.2461815,,"0","0","0",
"8590","7","5",,"1002503",,310003.531618,2396119.505602,310023.586402,2396121.580418,,,,20.161826,1.4677245,,"0","0","0",
"8591","7","5",,"1002504",,309932.500322,2396100.750722,309934.100898,2396124.357026,,,,23.662291,0.0853975,,"0","0","0",
"8592","7","5",,"1002505",,309927.919874,2396103.848866,309929.982082,2396127.44973,,,,23.696547,0.0953295,,"0","0","0",
"8606","7","5",,"1002533",,310256.032482,2395703.753666,310320.31261,2395697.249858,,,,64.632515,1.6790945,,"0","0","0",
